"matrix_id";"baseline";"ceof_cor";"nodf_columns_stat";"nodf_rows_stat";"nodf_general_stat";"temp_stat"
"mat_example_1";"r2";-0,973328526784575;55,5555555555556;40;45,8333333333333;35,0578969509032
"mat_example_1";"r2";-0,973328526784575;72,2222222222222;40;52,0833333333333;28,8053557016175
"mat_example_1";"r2";-0,973328526784575;61,1111111111111;40;47,9166666666667;37,2538670897248
"mat_example_1";"r2";-0,973328526784575;61,1111111111111;40;47,9166666666667;37,2538670897248
"mat_example_1";"r2";-0,904534033733291;83,3333333333333;40;56,25;13,9673235719946
"mat_example_1";"r2";-0,922839623364218;91,6666666666667;40;59,375;11,2489721463333
"mat_example_1";"r2";-0,922839623364218;91,6666666666667;40;59,375;11,2489721463333
"mat_example_1";"r2";NA;0;40;25;60,0595778037153
"mat_example_1";"r2";-0,922839623364218;91,6666666666667;40;59,375;11,2489721463333
"mat_example_1";"r2";-1;66,6666666666667;40;50;6,39957897269809
